日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20260131.0,5994.0,ファインシンター,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,5997.0,協立エアテック,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,5998.0,アドバネクス,スタンダード（内国株式）,3550.0,金属製品,3.0,建設・資材,-,-
20260131.0,6005.0,三浦工業,プライム（内国株式）,3600.0,機械,8.0,機械,4.0,TOPIX Mid400
20260131.0,6013.0,タクマ,プライム（内国株式）,3600.0,機械,8.0,機械,6.0,TOPIX Small 1
20260131.0,6016.0,ジャパンエンジンコーポレーション,スタンダード（内国株式）,3700.0,輸送用機器,6.0,自動車・輸送機,-,-
20260131.0,6018.0,阪神内燃機工業,スタンダード（内国株式）,3700.0,輸送用機器,6.0,自動車・輸送機,-,-
20260131.0,6022.0,赤阪鐵工所,スタンダード（内国株式）,3600.0,機械,8.0,機械,-,-
20260131.0,6023.0,ダイハツインフィニアース,スタンダード（内国株式）,3700.0,輸送用機器,6.0,自動車・輸送機,-,-
20260131.0,6027.0,弁護士ドットコム,プライム（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,7.0,TOPIX Small 2
20260131.0,6029.0,アトラグループ,スタンダード（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,6030.0,アドベンチャー,グロース（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,6031.0,ＺＥＴＡ,グロース（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,6033.0,エクストリーム,グロース（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,6034.0,ＭＲＴ,グロース（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,6035.0,アイ・アールジャパンホールディングス,プライム（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,7.0,TOPIX Small 2
20260131.0,6036.0,ＫｅｅＰｅｒ技研,プライム（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,6.0,TOPIX Small 1
20260131.0,6037.0,楽待,スタンダード（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,6038.0,イード,グロース（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,6039.0,日本動物高度医療センター,グロース（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,6040.0,日本スキー場開発,グロース（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,6042.0,ニッキ,スタンダード（内国株式）,3700.0,輸送用機器,6.0,自動車・輸送機,-,-
20260131.0,6044.0,三機サービス,スタンダード（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,6045.0,レントラックス,グロース（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,6046.0,リンクバル,グロース（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,6047.0,Ｇｕｎｏｓｙ,プライム（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,7.0,TOPIX Small 2
20260131.0,6049.0,イトクロ,グロース（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
